Timestamp,Physical_Core,CCD,Hashrate_H/s,Freq,CCD_Temp
1749658934,0,0,1544.69,5434,71.8
1749658939,0,0,1552.29,5449,72.1
1749658944,0,0,1553.03,5443,73.5
1749658949,0,0,1553.55,5474,71.8
1749658954,0,0,1552.66,5450,72.6
1749658959,0,0,1552.77,5450,71.2
1749658964,0,0,1557.07,5450,71.8
1749658969,0,0,1558.26,5474,70.9
1749658975,0,0,1557.74,5448,71.8
1749658980,0,0,1558.12,5475,71.8
1749658985,0,0,1559.17,5475,71.8
1749658990,0,0,1559.05,5475,72.1
1749658995,0,0,1559.47,5442,71.8
1749659000,0,0,1559.92,5475,72.1
1749659005,0,0,1559.52,5475,72.1
1749659010,0,0,1559.38,5475,72.6
1749659015,0,0,1560.12,5474,72.1
1749659020,0,0,1560.2,5475,71.8
1749659025,0,0,1560.19,5475,71.8
1749659030,0,0,1560.25,5475,70.9
1749659035,0,0,1559.65,5450,71.8
1749659040,0,0,1559.48,5475,71.8
1749659045,0,0,1559.31,5475,71.8
1749659050,0,0,1559.37,5474,72.1
1749659055,0,0,1559.33,5475,72.1
1749659061,0,0,1559.07,5474,71.8
1749659066,0,0,1559.35,5475,72.6
1749659071,0,0,1559.94,5474,71.8
1749659076,0,0,1560.48,5475,71.8
1749659081,0,0,1559.72,5474,71.8
1749659086,0,0,1558.79,5474,71.2
1749659091,0,0,1559.06,5474,71.8
1749659096,0,0,1558.86,5439,72.6
1749659101,0,0,1558.8,5475,70.9
1749659106,0,0,1559.22,5474,71.2
1749659111,0,0,1559.81,5475,70.9
1749659116,0,0,1560.2,5434,72.1
1749659121,0,0,1559.63,5474,71.2
1749659126,0,0,1560.47,5443,71.2
1749659131,0,0,1560.58,5475,72.6
1749659136,0,0,1560.39,5475,71.8
1749659141,0,0,1561.26,5475,71.8
1749659147,0,0,1561.23,5475,71.8
1749659152,0,0,1561.7,5450,72.1
1749659157,0,0,1560.33,5475,71.2
1749659162,0,0,1559.76,5475,71.2
1749659167,0,0,1560.24,5474,72.1
1749659172,0,0,1560.38,5475,70.9
1749659177,0,0,1559.91,5475,71.8
1749659182,0,0,1560.78,5474,72.6
1749659187,0,0,1560.87,5452,72.1
1749659192,0,0,1560.79,5475,72.6
1749659197,0,0,1560.54,5474,72.1
1749659202,0,0,1560.93,5474,70.9
1749659207,0,0,1560.59,5475,71.2
1749659212,0,0,1560.42,5474,71.8
1749659217,0,0,1560.58,5475,70.4
1749659222,0,0,1560.68,5475,71.8
1749659227,0,0,1560.27,5474,71.8
1749659232,0,0,1559.6,5434,71.8
1749659238,0,0,1559.79,5474,71.8
1749659243,0,0,1560.37,5474,72.6
1749659248,0,0,1560.05,5475,71.8
1749659253,0,0,1560.26,5474,71.8
1749659258,0,0,1555.32,5475,71.8
1749659263,0,0,1553.07,5474,71.8
1749659268,0,0,1554.77,5450,70.9
1749659273,0,0,1551.45,5475,71.2
1749659278,0,0,1551.12,5475,71.2
1749659283,0,0,1551.37,5475,71.2
1749659288,0,0,1551.52,5450,70.9
1749659293,0,0,1550.99,5475,72.1
1749659298,0,0,1550.68,5475,71.8
1749659303,0,0,1550.91,5474,71.8
1749659308,0,0,1550.51,5474,71.2
1749659313,0,0,1550.63,5474,71.2
1749659318,0,0,1550.45,5474,70.9
1749659324,0,0,1551.11,5475,71.8
1749659329,0,0,1551.79,5475,71.2
1749659334,0,0,1551.68,5475,72.1
1749659339,0,0,1550.58,5475,70.9
1749659344,0,0,1549.71,5475,72.1
1749659349,0,0,1550.63,5474,72.1
1749659354,0,0,1551.89,5475,71.8
1749659359,0,0,1552.04,5475,70.9
1749659364,0,0,1551.96,5474,70.9
1749659369,0,0,1551.94,5475,70.4
1749659374,0,0,1552.26,5475,70.4
1749659379,0,0,1552.0,5475,74.0
1749659384,0,0,1551.39,5475,71.8
1749659389,0,0,1551.56,5458,71.2
1749659394,0,0,1551.74,5475,71.8
1749659399,0,0,1550.95,5473,71.2
1749659404,0,0,1550.15,5475,71.2
1749659410,0,0,1550.94,5475,70.9
1749659415,0,0,1552.09,5475,71.2
1749659420,0,0,1551.65,5474,71.8
1749659425,0,0,1550.61,5474,71.8
1749659430,0,0,1550.76,5475,71.2
1749659435,0,0,1550.72,5474,71.8
1749659440,0,0,1550.45,5444,72.6
1749659445,0,0,1551.23,5474,71.8
1749659450,0,0,1551.74,5474,71.8
1749659455,0,0,1551.1,5475,71.2
1749659460,0,0,1550.48,5474,70.4
1749659465,0,0,1551.18,5474,70.9
1749659470,0,0,1550.58,5475,70.4
1749659475,0,0,1549.93,5475,72.6
1749659480,0,0,1550.47,5474,71.8
1749659485,0,0,1551.08,5475,72.1
1749659490,0,0,1550.7,5450,72.1
1749659495,0,0,1550.38,5474,71.8
1749659501,0,0,1550.51,5451,72.1
1749659506,0,0,1551.28,5474,71.2
1749659511,0,0,1550.7,5474,71.2
1749659516,0,0,1551.22,5475,72.6
1749659521,0,0,1551.6,5475,71.2
1749659526,0,0,1551.14,5475,72.6
1749659531,0,0,1550.88,5447,70.9
1749659536,0,0,1551.35,5474,72.1
1749659541,0,0,1551.08,5474,71.8
1749659546,0,0,1550.67,5475,71.8
1749659551,0,0,1551.47,5475,71.8
1749659556,0,0,1551.92,5474,72.6
1749659561,0,0,1551.2,5474,72.1
1749659566,0,0,1550.49,5474,71.8
1749659571,0,0,1551.44,5450,72.1
1749659576,0,0,1551.18,5474,71.2
1749659581,0,0,1550.21,5475,72.1
1749659587,0,0,1550.13,5474,71.8
1749659592,0,0,1550.28,5475,72.1
1749659597,0,0,1551.18,5474,71.8
1749659602,0,0,1551.39,5475,70.9
1749659607,0,0,1551.13,5475,72.1
1749659612,0,0,1550.69,5475,72.1
1749659617,0,0,1549.71,5474,71.8
1749659622,0,0,1550.15,5474,71.8
1749659627,0,0,1551.51,5475,72.1
1749659632,0,0,1551.86,5474,72.6
1749659637,0,0,1551.26,5475,71.2
1749659642,0,0,1551.13,5474,70.9
1749659647,0,0,1552.0,5475,70.9
1749659652,0,0,1551.34,5474,71.2
1749659657,0,0,1550.97,5474,72.6
1749659662,0,0,1551.92,5475,70.4
1749659667,0,0,1552.24,5475,70.9
1749659673,0,0,1552.17,5475,71.2
1749659678,0,0,1551.73,5474,71.2
1749659683,0,0,1551.44,5475,71.2
1749659688,0,0,1551.69,5475,71.8
1749659693,0,0,1551.54,5475,71.2
1749659698,0,0,1551.03,5474,71.2
1749659703,0,0,1550.76,5474,70.9
1749659708,0,0,1550.97,5474,72.1
1749659713,0,0,1550.81,5432,70.9
1749659718,0,0,1551.27,5475,72.1
1749659723,0,0,1550.96,5475,72.1
1749659728,0,0,1550.95,5475,71.8
1749659733,0,0,1551.12,5475,71.2
1749659738,0,0,1551.28,5475,72.6
1749659743,0,0,1551.53,5450,72.1
1749659748,0,0,1551.74,5474,72.6
1749659753,0,0,1551.44,5450,72.1
1749659759,0,0,1550.02,5474,72.6
1749659764,0,0,1550.28,5449,71.8
1749659769,0,0,1550.91,5474,72.1
1749659774,0,0,1550.54,5438,71.2
1749659779,0,0,1550.84,5474,72.1
1749659784,0,0,1551.68,5450,72.6
1749659789,0,0,1551.27,5474,72.1
1749659794,0,0,1550.7,5474,72.1
1749659799,0,0,1550.61,5474,72.1
1749659804,0,0,1550.65,5474,72.6
1749659809,0,0,1550.7,5474,72.1
1749659814,0,0,1550.87,5429,72.1
1749659819,0,0,1551.39,5445,71.8
1749659824,0,0,1551.87,5474,72.1
1749659829,0,0,1551.49,5444,71.8
1749659834,0,0,1550.75,5474,71.8
1749659839,0,0,1550.27,5475,72.1
1749659844,0,0,1550.57,5474,72.1
1749659850,0,0,1550.53,5475,71.8
1749659855,0,0,1549.6,5474,71.2
1749659860,0,0,1549.76,5474,71.8
1749659865,0,0,1549.91,5474,72.1
1749659870,0,0,1550.38,5474,72.1
1749659875,0,0,1551.65,5474,70.9
1749659880,0,0,1551.0,5474,72.1
1749659885,0,0,1550.21,5474,71.2
1749659890,0,0,1551.27,5449,71.8
1749659895,0,0,1551.51,5475,72.6
1749659900,0,0,1550.18,5443,72.6
1749659905,0,0,1549.81,5475,71.2
1749659910,0,0,1549.66,5475,71.8
1749659915,0,0,1550.12,5450,71.8
1749659920,0,0,1550.21,5474,71.8
1749659925,0,0,1550.68,5474,71.8
1749659930,0,0,1551.1,5438,71.8
1749659936,0,0,1551.1,5474,71.2
1749659941,0,0,1552.11,5474,71.8
1749659946,0,0,1552.28,5474,71.8
1749659951,0,0,1551.78,5475,70.9
1749659956,0,0,1550.9,5475,71.2
1749659961,0,0,1551.31,5474,71.8
1749659966,0,0,1552.26,5474,71.2
1749659971,0,0,1551.47,5475,71.2
1749659976,0,0,1552.05,5475,71.8
1749659981,0,0,1552.58,5475,70.9
1749659986,0,0,1551.84,5435,72.1
1749659991,0,0,1550.74,5475,72.6
1749659996,0,0,1550.69,5474,72.1
1749660001,0,0,1552.1,5475,72.6
1749660006,0,0,1552.38,5475,72.6
1749660011,0,0,1551.98,5474,71.8
1749660016,0,0,1551.66,5475,71.8
1749660022,0,0,1550.76,5474,71.8
1749660027,0,0,1551.39,5474,72.6
1749660032,0,0,1550.95,5475,72.6
1749660037,0,0,1550.64,5475,72.1
1749660042,0,0,1550.35,5474,71.8
1749660047,0,0,1550.88,5475,71.8
1749660052,0,0,1550.81,5475,72.1
1749660057,0,0,1551.2,5475,70.9
1749660062,0,0,1551.68,5450,72.1
1749660067,0,0,1364.21,3000,39.9
1749660072,0,0,558.1,5474,69.9
1749660077,0,0,829.59,5475,72.1
1749660082,0,0,1554.9,5474,70.9
1749660087,0,0,1554.91,5475,71.8
1749660092,0,0,1555.64,5474,72.6
1749660097,0,0,1554.76,5475,71.8
1749660102,0,0,1554.72,5475,73.1
1749660107,0,0,1555.07,5450,73.1
1749660113,0,0,1555.68,5475,72.6
1749660118,0,0,1555.47,5474,72.1
1749660123,0,0,1555.78,5428,70.9
1749660128,0,0,1555.99,5475,72.6
